Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,1588,462,5901,7374,8853,283,9608,0.0
jmeter_view_issue,16101,3041,3026,3711,4075,4849,138,6890,0.0
jmeter_search_jql,4855,14569,14733,16926,17953,19825,359,31120,0.0
jmeter_view_dashboard,4481,8008,8131,9666,10310,11546,202,18116,0.0
jmeter_view_backlog,2241,9384,9523,11074,11842,13167,267,14840,0.0
jmeter_open_quick_create,1500,1068,1068,1346,1466,1697,53,2331,0.0
jmeter_create_issue,1495,9918,10147,11943,12490,13385,176,15900,0.0
jmeter_view_project_summary,1490,8572,8680,10398,10944,12564,162,14777,0.0
jmeter_open_editor,1484,1334,1320,1683,1855,2285,73,3127,0.0
jmeter_save_edit,1483,7539,7450,9398,10172,12034,291,16809,0.0
jmeter_browse_projects,1481,915,905,1180,1290,1585,47,2496,0.0
jmeter_view_kanban_board,1121,4894,4954,6085,6478,7610,161,9398,0.0
jmeter_view_scrum_board,1121,3181,3210,4068,4411,5304,101,9141,0.0
jmeter_open_comment,749,930,916,1254,1376,1698,58,1987,0.0
jmeter_save_comment,749,6403,6521,7653,8020,8699,166,10280,0.0
jmeter_browse_boards,745,1058,1029,1417,1592,2071,64,2761,0.0
selenium_login:open_login_page,46,651,689,1055,1078,1171,110,1214,0.0
selenium_login:login_and_view_dashboard,46,3039,3569,4624,5086,5635,485,5908,0.0
selenium_login,46,3691,4408,5493,5936,6644,608,6952,0.0
selenium_browse_projects_list,46,883,981,1244,1301,1639,257,1896,0.0
selenium_browse_boards_list,46,1174,1341,1532,1636,2073,275,2249,0.0
selenium_create_issue:open_quick_create,46,1561,1770,1954,2026,2097,762,2107,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,46,8153,9614,12206,12422,13267,613,13953,0.0
selenium_create_issue:fill_and_submit_issue_form,46,8788,10220,12845,13088,13886,1154,14535,0.0
selenium_create_issue,46,10349,12097,14676,14906,15737,1934,16301,0.0
selenium_edit_issue:open_edit_issue_form,46,1529,1714,2098,2232,2355,474,2361,0.0
selenium_edit_issue:save_edit_issue_form,46,1594,1764,2154,2242,2800,547,2856,0.0
selenium_edit_issue,46,3691,4146,4619,5351,5429,1565,5446,0.0
selenium_save_comment:open_comment_form,46,936,1002,1332,1410,1606,246,1727,0.0
selenium_save_comment:submit_form,46,5620,6836,7562,7760,9082,738,9141,0.0
selenium_save_comment,46,6854,8262,8974,9271,10854,1242,10872,0.0
selenium_search_jql,46,16865,20553,23020,24129,25574,1492,25902,0.0
selenium_view_scrum_board_backlog,46,3326,3843,4448,4628,4955,805,5046,0.0
selenium_view_scrum_board,46,2421,2456,3748,3889,4052,781,4120,0.0
selenium_view_kanban_board,46,4019,4467,6173,6623,6976,681,7213,0.0
selenium_view_dashboard,46,1055,1149,1482,1572,1597,241,1604,0.0
selenium_view_issue,46,2205,2451,3010,3116,3282,581,3287,0.0
selenium_project_summary,46,2235,2490,3264,3481,3570,425,3598,0.0
selenium_log_out,46,1283,1428,1750,1927,2023,320,2041,0.0
